MKT_RF,SMB,HML,RF,date
-0.0076,0.0121,-0.0012,0.0015,195208
-0.0203,0.011899999999999999,-0.0159,0.0016,195209
-0.0066,-0.011000000000000001,-0.0046,0.0014000000000000002,195210
0.0594,-0.0069,0.0088,0.001,195211
0.029300000000000003,-0.014199999999999999,0.0,0.0016,195212
-0.0034000000000000002,0.0354,0.0128,0.0016,195301
-0.0027,0.0216,-0.0013,0.0014000000000000002,195302
-0.0143,-0.0014000000000000002,-0.0103,0.0018,195303
-0.028300000000000002,0.0027,0.014499999999999999,0.0016,195304
0.0052,-0.0003,0.0013,0.0017000000000000001,195305
-0.0189,-0.018500000000000003,-0.004699999999999999,0.0018,195306
0.024,-0.0101,-0.0037,0.0015,195307
-0.0452,0.0044,-0.0362,0.0017000000000000001,195308
0.002,-0.008100000000000001,-0.0255,0.0016,195309
0.046,-0.013999999999999999,-0.0003,0.0013,195310
0.028300000000000002,-0.0123,-0.004,0.0008,195311
0.0003,-0.0072,-0.0296,0.0013,195312
0.0513,0.0042,0.0353,0.0011,195401
0.0167,-0.0021,-0.0023,0.0007000000000000001,195402
0.0365,-0.0051,-0.0155,0.0008,195403
0.042699999999999995,-0.0346,-0.005,0.0009,195404
0.030899999999999997,0.0036,0.0253,0.0005,195405
0.010700000000000001,0.004,-0.0005,0.0006,195406
0.0499,0.0105,0.041299999999999996,0.0005,195407
-0.023399999999999997,0.0268,-0.0144,0.0005,195408
0.0639,-0.0256,0.0068000000000000005,0.0009,195409
-0.0167,0.005699999999999999,0.0070999999999999995,0.0007000000000000001,195410
0.09380000000000001,-0.0265,0.0418,0.0006,195411
0.0548,0.0215,0.0574,0.0008,195412
0.006,0.0024,0.0222,0.0008,195501
0.0302,0.0154,0.0060999999999999995,0.0009,195502
-0.0016,-0.0069,0.020099999999999996,0.001,195503
0.0311,-0.0178,0.0074,0.001,195504
0.009300000000000001,-0.0028000000000000004,-0.0087,0.0014000000000000002,195505
0.0655,-0.04650000000000001,0.018600000000000002,0.001,195506
0.019,-0.013600000000000001,0.0063,0.001,195507
0.0021,-0.0038,0.0059,0.0016,195508
-0.0036,0.003,-0.0106,0.0016,195509
-0.0268,0.015,-0.0003,0.0018,195510
0.0703,-0.0246,0.0051,0.0017000000000000001,195511
0.0149,0.0209,-0.0226,0.0018,195512
-0.030299999999999997,0.0044,0.011200000000000002,0.0022,195601
0.0377,-0.0103,-0.0055000000000000005,0.0019,195602
0.0664,-0.0241,-0.0015,0.0015,195603
0.0028000000000000004,0.0006,-0.0016,0.0019,195604
-0.052000000000000005,0.0151,-0.0134,0.0023,195605
0.0348,-0.0147,-0.013000000000000001,0.002,195606
0.0484,-0.018000000000000002,0.0019,0.0022,195607
-0.0318,0.0202,-0.0086,0.0017000000000000001,195608
-0.051399999999999994,0.016200000000000003,0.0175,0.0018,195609
0.0052,-0.0013,0.0001,0.0025,195610
0.0036,-0.0028000000000000004,0.0199,0.002,195611
0.0316,-0.002,-0.0187,0.0024,195612
-0.0358,0.035699999999999996,0.0255,0.0027,195701
-0.0206,-0.0074,-0.006999999999999999,0.0024,195702
0.0213,0.0027,-0.0048,0.0023,195703
0.0426,-0.0179,-0.0125,0.0025,195704
0.0345,-0.0109,-0.0207,0.0026,195705
-0.0074,0.0058,-0.0007000000000000001,0.0024,195706
0.0066,-0.0076,0.0039000000000000003,0.003,195707
-0.051100000000000007,0.0007000000000000001,-0.0045000000000000005,0.0025,195708
-0.059800000000000006,0.0007000000000000001,0.0088,0.0026,195709
-0.0432,-0.0252,-0.0183,0.0029,195710
0.023,0.0040999999999999995,-0.028999999999999998,0.0028000000000000004,195711
-0.0391,-0.0092,-0.0172,0.0024,195712
0.0466,0.0437,0.042199999999999994,0.0028000000000000004,195801
-0.0152,0.006999999999999999,0.0028000000000000004,0.0012,195802
0.0327,0.0063,-0.0092,0.0009,195803
0.030899999999999997,-0.0059,0.0147,0.0008,195804
0.0231,0.0223,-0.0034999999999999996,0.0011,195805
0.029300000000000003,-0.0024,0.0051,0.0003,195806
0.043899999999999995,0.0048,0.031,0.0007000000000000001,195807
0.0191,0.011699999999999999,0.0031,0.0004,195808
0.0466,0.0014000000000000002,0.0298,0.0019,195809
0.0253,0.0113,-0.0118,0.0018,195810
0.0301,0.0204,-0.0128,0.0011,195811
0.051500000000000004,-0.020499999999999997,-0.0008,0.0022,195812
0.0070999999999999995,0.03,0.030299999999999997,0.0021,195901
0.0095,0.015300000000000001,0.009899999999999999,0.0019,195902
0.0028000000000000004,0.0149,-0.0038,0.0022,195903
0.0366,-0.0054,-0.0132,0.002,195904
0.0173,-0.021099999999999997,0.0178,0.0022,195905
-0.0025,0.0066,0.0138,0.0025,195906
0.0317,-0.0033,0.0028000000000000004,0.0025,195907
-0.0139,-0.0078000000000000005,0.004,0.0019,195908
-0.048,-0.0008,0.005,0.0031,195909
0.0128,0.0143,-0.0204,0.003,195910
0.016,0.0129,-0.0327,0.0026,195911
0.0245,-0.006,-0.0008,0.0034000000000000002,195912
-0.0698,0.020499999999999997,0.0269,0.0033,196001
0.011699999999999999,0.005600000000000001,-0.0203,0.0029,196002
-0.0163,-0.004699999999999999,-0.028399999999999998,0.0034999999999999996,196003
-0.0171,0.0039000000000000003,-0.023700000000000002,0.0019,196004
0.031200000000000002,0.0127,-0.037200000000000004,0.0027,196005
0.0208,-0.0017000000000000001,-0.0026,0.0024,196006
-0.023700000000000002,-0.005699999999999999,0.0212,0.0013,196007
0.0301,0.0088,-0.0017000000000000001,0.0017000000000000001,196008
-0.0599,-0.011399999999999999,0.016200000000000003,0.0016,196009
-0.0070999999999999995,-0.0395,0.026099999999999998,0.0022,196010
0.046900000000000004,0.0029,-0.024,0.0013,196011
0.0471,-0.016,-0.0070999999999999995,0.0016,196012
0.062,0.0068000000000000005,0.036699999999999997,0.0019,196101
0.035699999999999996,0.0394,-0.0068000000000000005,0.0014000000000000002,196102
0.028900000000000002,0.0319,-0.0068000000000000005,0.002,196103
0.0029,0.0012,0.0204,0.0017000000000000001,196104
0.024,0.019299999999999998,0.0051,0.0018,196105
-0.0308,-0.0248,-0.0019,0.002,196106
0.028300000000000002,-0.019,-0.0013,0.0018,196107
0.025699999999999997,-0.0181,-0.0019,0.0014000000000000002,196108
-0.0215,-0.011200000000000002,-0.0048,0.0017000000000000001,196109
0.025699999999999997,-0.019799999999999998,0.0060999999999999995,0.0019,196110
0.044500000000000005,0.0105,-0.009000000000000001,0.0015,196111
-0.0018,-0.011200000000000002,0.022099999999999998,0.0019,196112
-0.0387,0.0184,0.0499,0.0024,196201
0.0181,-0.011899999999999999,0.0089,0.002,196202
-0.0068000000000000005,0.0023,-0.0101,0.002,196203
-0.0659,-0.0098,0.0048,0.0022,196204
-0.08650000000000001,-0.0301,0.0231,0.0024,196205
-0.08470000000000001,-0.0077,0.027999999999999997,0.002,196206
0.06280000000000001,0.016,-0.036000000000000004,0.0027,196207
0.0213,0.0124,-0.0124,0.0023,196208
-0.052199999999999996,-0.0248,0.0132,0.0021,196209
-0.0005,-0.0401,0.013600000000000001,0.0025,196210
0.10869999999999999,0.0258,0.0104,0.002,196211
0.0101,-0.0379,0.0033,0.0023,196212
0.0493,0.031,0.0219,0.0025,196301
-0.023799999999999998,0.0048,0.0225,0.0023,196302
0.0308,-0.025099999999999997,0.019299999999999998,0.0023,196303
0.0451,-0.0132,0.0103,0.0025,196304
0.0176,0.010700000000000001,0.0256,0.0024,196305
-0.02,-0.0027,0.0073,0.0023,196306
-0.0039000000000000003,-0.0055000000000000005,-0.008199999999999999,0.0027,196307
0.0507,-0.009399999999999999,0.0163,0.0025,196308
-0.015700000000000002,-0.003,0.0019,0.0027,196309
0.0253,-0.0053,-0.0011,0.0029,196310
-0.0085,-0.0111,0.0166,0.0027,196311
0.0183,-0.0196,-0.0011,0.0029,196312
0.022400000000000003,-0.002,0.016399999999999998,0.003,196401
0.0154,0.0008,0.028300000000000002,0.0026,196402
